tweetid,content,max_speech_type,max_agg_type,max_target_type,label,aggr,target,text
1316836223609118727,How Queen Elizabeth II safely went without a mask as she left lockdown https://t.co/3pAIoBVXJk via @TheNationalNews,normal,not_aggressive,na,0,0,0,how queen elizabeth ii safely went without a mask as she left lockdown <url> via <user>
1318379728642953217,Five ways to grow your business online through the COVID-19 pandemic #Entrepreneur #Startup #Business #Customer #Brand #b2c #yoyakka https://t.co/UEj05D4hVq,normal,not_aggressive,na,0,0,0,five ways to grow your business online through the covid19 pandemic entrepreneur startup business customer brand b2c yoy akka <url>
1288243962449293314,Enough with the blatant fearmongering. How convenient that the virus suddenly took a break during all these #BlackLivesMatter protests. #ChinaVirus #HoaxVirus https://t.co/VjJfpcYWcq,hate,somewhat_aggressive,anti_asian,2,1,1,enough with the blatant fearmongering. how convenient that the virus suddenly took a break during all these black lives matter protests. chinavirus hoax virus <url>
1314626604874768386,Wells Fargo has Covid beta portfolio to play medical treatmentnews https://t.co/OJ7m4dbU8C,normal,not_aggressive,na,0,0,0,wells fargo has covid beta portfolio to play medical treatmentnews <url>
1304408485006913536,Lagos Assembly tasks tertiary institutions on COVID-19 guidelinescompliance https://t.co/uTQRKMJeLn,normal,not_aggressive,na,0,0,0,lagos assembly tasks tertiary institutions on covid19 guidelinescompliance <url>
1292435815822323716,Lockdown k baad #vickytarori #vickytaroriofficial https://t.co/xhLsHpHisC,normal,not_aggressive,na,0,0,0,lockdown k baad vicky tar or i vicky tar or iofficial <url>
1328618135499390978,"via @PerilofAfrica Pentagon Officials Decamp: On this episode of Fault Lines, hosts Jamarl Thomas and Shane Stranahan discuss the current state of the nation following a weekend of MAGA protests, departures at the Pentagon, and COVID spike. https://t.co/PeMnKo0yb0 https://t.co/m5HMdDyVAm",normal,not_aggressive,na,0,0,0,"via <user> pentagon officials decamp: on this episode of fault lines, hosts jamarl thomas and shane stranahan discuss the current state of the nation following a weekend of maga protests, departures at the pentagon, and covid spike. <url> <url>"
1279158576817324035,How Does Robinhood Make Money? Robinhood Business Model In A Nutshell #wealthmanagement #familyoffice #investment #economy #venturecapital #covid19 #corona #coronavirus #wuhanvirus #wuhan #china #US #chinavirus https://t.co/A6r9xri8nA,normal,not_aggressive,na,0,0,0,how does robinhood make money? robinhood business model in a nutshell wealth management family office investment economy venture capital covid19 corona coronavirus wuhan virus wuhan china us chinavirus <url>
1301272353079427073,@SpeakerPelosi is the most dangerous person in America today! She has personally held up EVERY CHINESE CORONAVIRUS RELIEF BILL! Shell do anything she can if the perception is that it hurts @realDonaldTrump! News flash Nancy its not working!! #Trump2020NowMoreThanEver,abusive,very_aggressive,na,1,2,0,<user> is the most dangerous person in america today! she has personally held up every chinese coronavirus relief bill! shell do anything she can if the perception is that it hurts <user> news flash nancy its not working!! trump 2020 now more than ever
1305998055657730050,There's a coincidence Will you be having the #Chinese #ChinaVirus #vaccination #RETWEET FOR NO FXXKING CHANCE https://t.co/9aSQAWsEUV,abusive,somewhat_aggressive,na,1,1,0,there's a coincidence will you be having the chinese chinavirus vaccination retweet for no fxxking chance <url>
