,annot1,annot2,content,expert,label,orig_final_label,text,tweetid
0,none_of_the_above,none_of_the_above,@ConflictsW @Lealokkk @Global_Mil_Info @DewsNewz @ISCResearch @CNN @DrTedros @PolishPatriotTM @OffLimitsNews @Millie__Weaver @LanceAndrews @vcdgf555 #NEW: The US State Department ordered non-emergency personnel and their families to depart China's Hubei province on Thursday due to the virus outbreak - CNN  via Global: MilitaryInfo @Global_Mil_Info   #CoronaVirus #WuhanFlu #2019nCoV  https://t.co/bpo8SmUqoA,none_of_the_above,0,none_of_the_above,<user> new: the us state department ordered non-emergency personnel and their families to depart china's hubei province on thursday due to the virus outbreak - cnn via global: militaryinfo <user> coronavirus wuhan flu 2019ncov <url>,1220725643513671682
1,none_of_the_above,none_of_the_above,this 1984 murderer @officeofknath had no issues to come to assembly today and had suddenly realization about #chinavirus to escape the floor test... kumarswamy in karnataka also did similar dramas before falling... thus also falls soon https://t.co/graxsjnank,none_of_the_above,0,none_of_the_above,this 1984 murderer <user> had no issues to come to assembly today and had suddenly realization about chinavirus to escape the floor test... kumarswamy in karnataka also did similar dramas before falling... thus also falls soon <url>,1239495703346339840
2,none_of_the_above,none_of_the_above,#bigbadleroybrown? or #hankwilliams? unwanted intox patron at the #honkeytonksaloon in @berkcosheriff #livepd #livepdnation  watching @officiallivepd #live🚨 #edt in #ca in our own #timezone #country @mscecilem on @hulu during the 🦠🦠🦠🦠 #wuhan #coronaviruspandemic @susanmthom https://t.co/uoa3twoo5q,none_of_the_above,0,none_of_the_above,big bad leroy brown? or hank williams? unwanted intox patron at the honkey tonk saloon in <user> live pd live pdnation watching <user> live edt in ca in our own time zone country <user> on <user> during the wuhan coronavirus pandemic <user> <url>,1238660201676279808
3,none_of_the_above,none_of_the_above,@BNODesk @BNONews Oh my. #coronavirus #WuhanLockDown #Wuhanpnemonia #WuhanFlu #WuhanTruth  Do you still feel safe? 1291 new cases. 24 new deaths,none_of_the_above,0,none_of_the_above,<user> oh my. coronavirus wuhan lockdown wuhan pne monia wuhan flu wuhan truth do you still feel safe? 1291 new cases. 24 new deaths,1221960508728922113
4,none_of_the_above,none_of_the_above,"Coronavirus: New methodology better, but why the delay?  #WuhanVirus #China #chinavirus #COVID2019 #covid #WuhanPneumonia #ChinaCoronaVirus #coronavirus  https://t.co/0KbdFlatV9",none_of_the_above,0,none_of_the_above,"coronavirus: new methodology better, but why the delay? wuhan virus china chinavirus covid2019 covid wuhan pneumonia china coronavirus <url>",1228539450042404864
5,none_of_the_above,none_of_the_above,"Clorox Healthcare Citrace Hospital Disinfectant & Deodorizer, Aerosol Spray, Citrus, 14 Ounces by Clorox https://t.co/KSknVWRaoe  #ad #coronavirus #coronaoutbreak #wuhanflu #chinaflu #flu #corona #virus #CoronavirusOutbreak #coronaviruswuhan #outbreak #2019nCoV #COVID19",none_of_the_above,0,none_of_the_above,"clorox healthcare citrace hospital disinfectant & deodorizer, aerosol spray, citrus, 14 ounces by clorox <url> ad coronavirus corona outbreak wuhan flu chinaflu flu corona virus corona virus outbreak coronavirus wuhan outbreak 2019ncov covid19",1227437317356429314
6,none_of_the_above,none_of_the_above,RT @Dystopia992 @DrDenaGrayson @thespybrief The so-called #hospital is nothing but a container / prison cell / isolation camp  #Authoritarianism is bad for EVERYONE’s health🦠  #Wuhan #coronarvirus  #CoronaOutbreak #ChinaPneumonia  https://t.co/f68a1pgLc7 https://t.co/ESk0KcdlA2,none_of_the_above,0,none_of_the_above,<user> the so-called hospital is nothing but a container / prison cell / isolation camp authoritarian ism is bad for everyones health wuhan corona r virus corona outbreak china pneumonia <url> <url>,1221473332719210496
7,none_of_the_above,none_of_the_above,"what's the protocol for the decreased? is burial safe or is there a risk of contamination? if burial presents even the slightest of risks, authorities must insist on cremation. #wuhanvirus #chinesecoronavirus",none_of_the_above,0,none_of_the_above,"what's the protocol for the decreased? is burial safe or is there a risk of contamination? if burial presents even the slightest of risks, authorities must insist on cremation. wuhan virus chinese coronavirus",1238161587589877760
8,none_of_the_above,none_of_the_above,RT @kertime #coronavirus #WuFlu Shanghai drops even further As of 10:22pm today ET -244.55 / -8.22%,none_of_the_above,0,none_of_the_above,<user> coronavirus wuflu shanghai drops even further as of 10:22pm today et -244.55 / -8.22%,1224180632798081026
9,none_of_the_above,none_of_the_above,@bestseozone You should use it to protect against corona virus. #coronavirus #WuhanChina #corona #hospital #ChinaVirus #china https://t.co/T2A5TWdWUw,none_of_the_above,0,none_of_the_above,<user> you should use it to protect against corona virus. coronavirus wuhan china corona hospital chinavirus china <url>,1226128254177812481
10,none_of_the_above,none_of_the_above,Thread   😷🇨🇳🇹🇭🇭🇰🇲🇴🇸🇬🇯🇵🇰🇷🇺🇸🇹🇼🇻🇳🇦🇺🇫🇷🇳🇵🇲🇾🇨🇦 #CoronavirusOutbreak #coronavirus #WuhanPneumonia #nCoV2019 #publichealth #outbreak #wuflu #coronaviruses #koronavirues #koronaviruesue #koronawirus #koronavirüsü #Koronavirüs #koronavir #koronavirus #coronarovirus,none_of_the_above,0,none_of_the_above,thread corona virus outbreak coronavirus wuhan pneumonia ncov2019 public health outbreak wuflu corona viruses korona viru es korona viru esue korona wir us korona vir s korona vir s korona vir korona virus corona ro virus,1221596711208083459
11,none_of_the_above,none_of_the_above,Oh. How very Communist of them. #ChinaFlu #Epidemic #SARSallOverAgain  PING @patrikoksanen @OAJonsson @jojjeols @20committee @edwardlucas  ⬇️⬇️⬇️,none_of_the_above,0,none_of_the_above,oh. how very communist of them. chinaflu epidemic sars all over again ping <user>,1214994439984291840
12,none_of_the_above,none_of_the_above,@BorisJohnson @AbeShinzo @thejointstaff @naokoaoki  The biggest announcement from the Chinese. They will let WESTERN leaders and people to speech of the General Secretary replace the Christmas message in #Christmas.  #BoycottMulan #coronaviruse #ChinaLies https://t.co/QxuhvOd0D7,none_of_the_above,0,none_of_the_above,<user> the biggest announcement from the chinese. they will let western leaders and people to speech of the general secretary replace the christmas message in christmas. boycott mulan coronavirus e china lies <url>,1224299074993549312
13,none_of_the_above,none_of_the_above,@twitterdata @twittersf @twittersafety @twitter what are these teams doing? why can’t you block this extreme terrorist @realdonaldtrump ‘s twitter about #chinavirus. what are these teams for if they can’t do something to keep a clean and safe community environment ?,none_of_the_above,0,none_of_the_above,<user> what are these teams doing? why cant you block this extreme terrorist <user> s twitter about chinavirus. what are these teams for if they cant do something to keep a clean and safe community environment ?,1239718516560785408
14,none_of_the_above,none_of_the_above,#chinavirus takes a toll on chinese marriages ! https://t.co/cxojgkosga,none_of_the_above,0,none_of_the_above,chinavirus takes a toll on chinese marriages ! <url>,1239742486450286592
15,none_of_the_above,none_of_the_above,@Keque_Mage @RonPaul @GretaThunberg @Pharaoh03143129 it's real #WuFlu #coronavirus #COVIDー19 #COVID19  https://t.co/nDKMOq6N6B https://t.co/PIgZfyWdrX,none_of_the_above,0,none_of_the_above,<user> it's real wuflu coronavirus covid19 <url> <url>,1232698871421247490
